Seizoen,Club,Wedstrijden,Winst,Gelijk,Verlies,Punten,Goals,Tegengoals,Doelsaldo
1960,Ajax,34,22,6,6,50,109,44,65
1961,Feyenoord,34,24,5,5,53,100,40,60
1962,Feyenoord,34,20,10,4,50,88,35,53
1963,PSV,30,17,8,5,42,67,38,29
1964,DWS,30,19,5,6,43,58,28,30
1965,Feyenoord,30,21,3,6,45,77,30,47
1966,Ajax,30,24,4,2,52,79,25,54
1967,Ajax,34,26,4,4,56,122,34,88
1968,Ajax,34,27,4,3,58,96,19,77
1969,Feyenoord,34,26,5,3,57,73,21,52
1970,Ajax,34,27,6,1,60,100,23,77
1971,Feyenoord,34,26,5,3,57,82,25,57
1972,Ajax,34,30,3,1,63,104,20,84
1973,Ajax,34,30,0,4,60,102,18,84
1974,Feyenoord,34,25,6,3,56,96,28,68
1975,PSV,34,23,9,2,55,82,26,56
1976,PSV,34,24,5,5,53,89,27,62
1977,Ajax,34,23,6,5,52,62,26,36
1978,PSV,34,21,11,2,53,74,21,53
1979,Ajax,34,24,6,4,54,93,31,62
1980,Ajax,34,22,6,6,50,77,41,36
1981,AZ,34,27,6,1,60,101,30,71
1982,Ajax,34,26,4,4,56,117,42,75
1983,Ajax,34,26,6,2,58,106,41,65
1984,Feyenoord,34,25,7,2,57,96,31,65
1985,Ajax,34,24,6,4,54,93,46,47
1986,PSV,34,27,6,1,60,100,22,78
1987,PSV,34,27,5,2,59,99,21,78
1988,PSV,34,27,5,2,59,117,28,89
1989,PSV,34,24,5,5,53,78,31,47
1990,Ajax,34,19,11,4,49,67,23,44
1991,PSV,34,23,7,4,53,84,28,56
1992,PSV,34,25,8,1,58,82,24,58
1993,Feyenoord,34,22,9,3,53,82,32,50
1994,Ajax,34,26,2,6,54,86,26,60
1995,Ajax,34,27,7,0,61,106,28,78
1996,Ajax,34,26,5,3,83,97,24,73
1997,PSV,34,24,5,5,77,90,26,64
1998,Ajax,34,29,2,3,89,112,22,90
1999,Feyenoord,34,25,5,4,80,76,38,38
2000,PSV,34,27,3,4,84,105,24,81
2001,PSV,34,25,8,1,83,73,23,50
2002,Ajax,34,22,7,5,73,73,34,39
2003,PSV,34,26,6,2,84,87,20,67
2004,Ajax,34,25,5,4,80,79,31,48
2005,PSV,34,27,6,1,87,89,18,71
2006,PSV,34,26,6,2,84,71,23,48
2007,PSV,34,23,6,5,75,75,25,50
2008,PSV,34,21,9,4,72,65,24,41
2009,AZ,34,25,5,4,80,66,22,44
2010,FC Twente,34,27,5,2,86,63,23,40
2011,Ajax,34,22,7,5,73,72,30,42
2012,Ajax,34,23,7,4,76,93,36,57
2013,Ajax,34,22,10,2,76,83,31,52
2014,Ajax,34,20,11,3,71,69,28,41
2015,PSV,34,29,1,4,88,92,31,61
2016,PSV,34,26,6,2,84,88,32,56
2017,Feyenoord,34,26,4,4,82,86,25,61
