Seizoen,Speler,Club,Goals,Kampioen
1960,Henk Groot,Ajax,38,Ajax
1961,Henk Groot,Ajax,41,Feyenoord
1962,Dick Tol,Volendam,27,Feyenoord
1963,Pierre Kerkhofs,PSV,22,PSV
1964,Frans Geurtsen,DWS,28,DWS
1965,Frans Geurtsen,DWS,23,Feyenoord
1966,Piet Kruiver,Feyenoord,23,Ajax
1967,Johan Cruijff,Ajax,33,Ajax
1968,Ove Kindvall,Feyenoord,28,Ajax
1969,Dick van Dijk,FC Twente,30,Feyenoord
1970,Willy van der Kuijlen,PSV,26,Ajax
1971,Ove Kindvall,Feyenoord,24,Feyenoord
1972,Johan Cruijff,Ajax,25,Ajax
1973,Cas Janssens,NEC,18,Ajax
1974,Willy van der Kuijlen,PSV,27,Feyenoord
1975,Ruud Geels,Ajax,30,PSV
1976,Ruud Geels,Ajax,29,PSV
1977,Ruud Geels,Ajax,34,Ajax
1978,Ruud Geels,Ajax,30,PSV
1979,Kees Kist,AZ,34,Ajax
1980,Kees Kist,AZ,27,Ajax
1981,Ruud Geels,Sparta,22,AZ
1982,Wim Kieft,Ajax,32,Ajax
1983,Peter Houtman,Feyenoord,30,Ajax
1984,Marco van Basten,Ajax,28,Feyenoord
1985,Marco van Basten,Ajax,22,Ajax
1986,Marco van Basten,Ajax,37,PSV
1987,Marco van Basten,Ajax,31,PSV
1988,Wim Kieft,PSV,29,PSV
1989,Romario,PSV,19,PSV
1990,Romario,PSV,23,Ajax
1991,Dennis Bergkamp,Ajax,25,PSV
1992,Dennis Bergkamp,Ajax,22,PSV
1993,Dennis Bergkamp,Ajax,26,Feyenoord
1994,Jari Litmanen,Ajax,26,Ajax
1995,Ronaldo,PSV,30,Ajax
1996,Luc Nilis,PSV,21,Ajax
1997,Luc Nilis,PSV,21,PSV
1998,Nikos Machlas,Vitesse,34,Ajax
1999,Ruud van Nistelrooij,PSV,31,Feyenoord
2000,Ruud van Nistelrooij,PSV,29,PSV
2001,Mateja Kezman,PSV,24,PSV
2002,Pierre van Hooijdonk,Feyenoord,24,Ajax
2003,Mateja Kezman,PSV,35,PSV
2004,Mateja Kezman,PSV,31,Ajax
2005,Dirk Kuijt,Feyenoord,29,PSV
2006,Klaas-Jan Huntelaar,SC Heerenveen,33,PSV
2007,Afonso Alves,SC Heerenveen,34,PSV
2008,Klaas-Jan Huntelaar,Ajax,33,PSV
2009,Mounir El Hamdaoui,AZ,23,AZ
2010,Luis Suarez,Ajax,35,FC Twente
2011,Bjorn Vleminckx,NEC,23,Ajax
2012,Bas Dost,SC Heerenveen,32,Ajax
2013,Wilfried Bony,Vitesse,31,Ajax
2014,Alfred Finnbogason,SC Heerenveen,29,Ajax
2015,Memphis Depay,PSV,22,PSV
2016,Vincent Janssen,AZ,27,PSV
2017,Nicolai Jørgensen,Feyenoord,21,Feyenoord
